RegionName,City,State,Metro,CountyName,SizeRank,2017-12
10025,New York,NY,New York,New York,1,3500
60657,Chicago,IL,Chicago,Cook,2,1795
10023,New York,NY,New York,New York,3,3700
77494,Cinco Ranch,TX,Houston,Fort Bend,4,2200
75070,McKinney,TX,Dallas-Fort Worth,Collin,5,1850
60614,Chicago,IL,Chicago,Cook,6,2200
79936,El Paso,TX,El Paso,El Paso,7,995
77084,Houston,TX,Houston,Harris,8,1400
10002,New York,NY,New York,New York,9,3000
60640,Chicago,IL,Chicago,Cook,10,1450
10467,New York,NY,New York,Bronx,11,1175
77449,Houston,TX,Houston,Harris,12,1450
94109,San Francisco,CA,San Francisco,San Francisco,13,4000
11226,New York,NY,New York,Kings,14,1474.5
10016,New York,NY,New York,New York,15,3500
11235,New York,NY,New York,Kings,16,2500
60647,Chicago,IL,Chicago,Cook,17,2150
37013,Nashville,TN,Nashville,Davidson,18,1495
37211,Nashville,TN,Nashville,Davidson,19,1450
10009,New York,NY,New York,New York,20,3400
60618,Chicago,IL,Chicago,Cook,21,1750
10011,New York,NY,New York,New York,22,3800
10029,New York,NY,New York,New York,23,3295
10128,New York,NY,New York,New York,24,2995
78660,Pflugerville,TX,Austin,Travis,25,1600
77573,League City,TX,Houston,Galveston,26,1900
77584,Pearland,TX,Houston,Brazoria,27,1870
28269,Charlotte,NC,Charlotte,Mecklenburg,28,1450
94565,Pittsburg,CA,San Francisco,Contra Costa,29,2195
79912,El Paso,TX,El Paso,El Paso,30,1245
11201,New York,NY,New York,Kings,31,3208
30349,Riverdale,GA,Atlanta,Clayton,32,1180
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,33,4999
20002,Washington,DC,Washington,District of Columbia,34,2550
78130,New Braunfels,TX,San Antonio,Comal,35,1525
20009,Washington,DC,Washington,District of Columbia,36,2699
78613,Cedar Park,TX,Austin,Williamson,37,1695
10462,New York,NY,New York,Bronx,38,1450
75052,Grand Prairie,TX,Dallas-Fort Worth,Dallas,39,1570
10003,New York,NY,New York,New York,40,3895
37042,Clarksville,TN,Clarksville,Montgomery,41,1000
63376,Saint Peters,MO,St. Louis,Saint Charles,42,1395
77429,Cypress,TX,Houston,Harris,43,1700
60613,Chicago,IL,Chicago,Cook,44,1680
11206,New York,NY,New York,Kings,45,2350
30044,Lawrenceville,GA,Atlanta,Gwinnett,46,1322.5
77036,Houston,TX,Houston,Harris,47,820
77479,Sugar Land,TX,Houston,Fort Bend,48,2175
10463,New York,NY,New York,Bronx,49,1887.5
11209,New York,NY,New York,Kings,50,1950
73099,Yukon,OK,Oklahoma City,Canadian,51,1250
60625,Chicago,IL,Chicago,Cook,52,1337.5
30043,Lawrenceville,GA,Atlanta,Gwinnett,53,1495
77433,Cypress,TX,Houston,Harris,54,1700
75287,Dallas,TX,Dallas-Fort Worth,Dallas,55,1500
10024,New York,NY,New York,New York,56,3300
21234,Parkville,MD,Baltimore,Baltimore,57,1550
77077,Houston,TX,Houston,Harris,58,1750
28277,Charlotte,NC,Charlotte,Mecklenburg,59,1675
85032,Phoenix,AZ,Phoenix,Maricopa,60,1385
7030,Hoboken,NJ,New York,Hudson,61,2700
75034,Frisco,TX,Dallas-Fort Worth,Collin,62,2350
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,63,2900
23464,Virginia Beach,VA,Virginia Beach,Virginia Beach City,64,1395
78704,Austin,TX,Austin,Travis,65,1610
30096,Duluth,GA,Atlanta,Gwinnett,66,1485
98052,Redmond,WA,Seattle,King,67,2500
11229,New York,NY,New York,Kings,68,2275
77379,Houston,TX,Houston,Harris,69,1695
60619,Chicago,IL,Chicago,Cook,70,1100
78245,San Antonio,TX,San Antonio,Bexar,71,1345
94110,San Francisco,CA,San Francisco,San Francisco,72,4475
90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,73,2995
10458,New York,NY,New York,Bronx,74,1300
11221,New York,NY,New York,Kings,75,2250
78666,San Marcos,TX,Austin,Hays,76,1350
10019,New York,NY,New York,New York,77,3534
30024,Suwanee,GA,Atlanta,Gwinnett,78,1850
75067,Lewisville,TX,Dallas-Fort Worth,Denton,79,1675
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,80,1500
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,81,2250
44035,Elyria,OH,Cleveland,Lorain,82,750
60610,Chicago,IL,Chicago,Cook,83,1800
23462,Virginia Beach,VA,Virginia Beach,Virginia Beach City,84,1295
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,85,1650
48197,Ypsilanti,MI,Ann Arbor,Washtenaw,85,1500
2169,Quincy,MA,Boston,Norfolk,87,1850
95630,Folsom,CA,Sacramento,Sacramento,88,2195
66062,Olathe,KS,Kansas City,Johnson,89,1600
78745,Austin,TX,Austin,Travis,90,1450
11355,New York,NY,New York,Queens,91,2350
19143,Philadelphia,PA,Philadelphia,Philadelphia,92,1100
85710,Tucson,AZ,Tucson,Pima,93,1025
60617,Chicago,IL,Chicago,Cook,94,1200
10314,New York,NY,New York,Richmond,95,2200
32210,Jacksonville,FL,Jacksonville,Duval,96,1000
94558,Napa,CA,Napa,Napa,97,3000
11215,New York,NY,New York,Kings,98,2700
91910,Chula Vista,CA,San Diego,San Diego,99,2300
30281,Stockbridge,GA,Atlanta,Henry,100,1195
37075,Hendersonville,TN,Nashville,Sumner,101,1700
60611,Chicago,IL,Chicago,Cook,102,2078
85225,Chandler,AZ,Phoenix,Maricopa,103,1292.5
87111,Albuquerque,NM,Albuquerque,Bernalillo,104,1375
6010,Bristol,CT,Hartford,Hartford,105,1250
78240,San Antonio,TX,San Antonio,Bexar,106,1200
89108,Las Vegas,NV,Las Vegas,Clark,107,995
87114,Albuquerque,NM,Albuquerque,Bernalillo,108,1285
85308,Glendale,AZ,Phoenix,Maricopa,109,1400
28027,Concord,NC,Charlotte,Cabarrus,110,1500
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,111,2000
17603,Lancaster,PA,Lancaster,Lancaster,112,1150
93722,Fresno,CA,Fresno,Fresno,113,1395
48180,Taylor,MI,Detroit,Wayne,114,950
95608,Carmichael,CA,Sacramento,Sacramento,115,1625
11211,New York,NY,New York,Kings,116,3050
94533,Fairfield,CA,Vallejo,Solano,117,1950
43081,Westerville,OH,Columbus,Franklin,118,1297
80134,Parker,CO,Denver,Douglas,119,2200
80013,Aurora,CO,Denver,Arapahoe,120,1800
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,121,1762.5
85281,Tempe,AZ,Phoenix,Maricopa,122,1399
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,123,4400
20906,Silver Spring,MD,Washington,Montgomery,124,1750
11385,New York,NY,New York,Queens,125,2049.5
76028,Burleson,TX,Dallas-Fort Worth,Johnson,126,1500
91709,Chino Hills,CA,Riverside,San Bernardino,127,2595
85364,Yuma,AZ,Yuma,Yuma,128,912.5
43123,Grove City,OH,Columbus,Franklin,129,1450
65807,Springfield,MO,Springfield,Greene,130,785
95823,Sacramento,CA,Sacramento,Sacramento,131,1537.5
77459,Missouri City,TX,Houston,Fort Bend,132,1800
33908,Fort Myers,FL,Fort Myers,Lee,133,2350
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,134,3000
98012,Bothell,WA,Seattle,Snohomish,135,2242
10468,New York,NY,New York,Bronx,136,1250
97229,Cedar Mill,OR,Portland,Washington,137,2097.5
2148,Malden,MA,Boston,Middlesex,138,1800
27410,Greensboro,NC,,Guilford,139,1337.5
60620,Chicago,IL,Chicago,Cook,140,1250
10028,New York,NY,New York,New York,141,2900
8753,Toms River,NJ,New York,Ocean,142,1662.5
33647,Tampa,FL,Tampa,Hillsborough,143,1682.5
60634,Chicago,IL,Chicago,Cook,144,1722.5
6902,Stamford,CT,Stamford,Fairfield,145,2200
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,146,1745
65203,Columbia,MO,Columbia,Boone,147,1150
92126,San Diego,CA,San Diego,San Diego,148,2350
92345,Hesperia,CA,Riverside,San Bernardino,149,1300
75228,Dallas,TX,Dallas-Fort Worth,Dallas,150,1450
60016,Des Plaines,IL,Chicago,Cook,151,1295
20011,Washington,DC,Washington,District of Columbia,152,2500
89121,Las Vegas,NV,Las Vegas,Clark,153,1050
98103,Seattle,WA,Seattle,King,154,2600
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,155,1270
27406,Greensboro,NC,,Guilford,156,825
11238,New York,NY,New York,Kings,157,2950
27610,Raleigh,NC,Raleigh,Wake,157,1295
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,159,1700
28314,Fayetteville,NC,Fayetteville,Cumberland,160,895
92336,Fontana,CA,Riverside,San Bernardino,161,2300
77095,Houston,TX,Houston,Harris,162,1695
77450,Cinco Ranch,TX,Houston,Fort Bend,163,1800
92503,Riverside,CA,Riverside,Riverside,164,1997.5
30040,Cumming,GA,Atlanta,Forsyth,165,1578.5
30188,Woodstock,GA,Atlanta,Cherokee,166,1450
7002,Bayonne,NJ,New York,Hudson,167,1600
94536,Fremont,CA,San Francisco,Alameda,168,2800
21740,Hagerstown,MD,Hagerstown,Washington,169,900
75056,The Colony,TX,Dallas-Fort Worth,Denton,170,1750
77845,College Station,TX,College Station,Brazos,171,1500
11233,New York,NY,New York,Kings,172,2090
7302,Jersey City,NJ,New York,Hudson,173,2500
19111,Philadelphia,PA,Philadelphia,Philadelphia,174,1200
79938,El Paso,TX,El Paso,El Paso,175,1150
87120,Albuquerque,NM,Albuquerque,Bernalillo,176,1250
89117,Las Vegas,NV,Las Vegas,Clark,177,1450
22191,Woodbridge,VA,Washington,Prince William,178,1895
91730,Rancho Cucamonga,CA,Riverside,San Bernardino,179,2150
46227,Indianapolis,IN,Indianapolis,Marion,180,975
92592,Temecula,CA,Riverside,Riverside,181,2200
60628,Chicago,IL,Chicago,Cook,182,1350
74012,Broken Arrow,OK,Tulsa,Tulsa,183,1125
23320,Chesapeake,VA,Virginia Beach,Chesapeake City,184,1450
32822,Orlando,FL,Orlando,Orange,185,1190
43230,Gahanna,OH,Columbus,Franklin,186,1325
92109,San Diego,CA,San Diego,San Diego,187,3250
32244,Jacksonville,FL,Jacksonville,Duval,188,1195
92101,San Diego,CA,San Diego,San Diego,189,2700
30080,Smyrna,GA,Atlanta,Cobb,190,1450
21117,Owings Mills,MD,Baltimore,Baltimore,191,1797.5
7093,West New York,NJ,New York,Hudson,192,2100
60626,Chicago,IL,Chicago,Cook,193,1300
10027,New York,NY,New York,New York,194,2650
48103,Ann Arbor,MI,Ann Arbor,Washtenaw,195,2050
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,196,1850
30062,Marietta,GA,Atlanta,Cobb,197,1799
33012,Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,198,1472.5
30331,Atlanta,GA,Atlanta,Fulton,199,1200
92335,Fontana,CA,Riverside,San Bernardino,200,1675
23454,Virginia Beach,VA,Virginia Beach,Virginia Beach City,201,1400
60649,Chicago,IL,Chicago,Cook,202,1050
30052,Loganville,GA,Atlanta,Gwinnett,203,1395
93065,Simi Valley,CA,Ventura,Ventura,204,2725
34787,Winter Garden,FL,Orlando,Orange,205,2000
30041,Cumming,GA,Atlanta,Forsyth,206,1850
32218,Jacksonville,FL,Jacksonville,Duval,207,1350
27834,Greenville,NC,Greenville,Pitt,208,800
22193,Woodbridge,VA,Washington,Prince William,209,1785
95123,San Jose,CA,San Jose,Santa Clara,210,3300
37130,Murfreesboro,TN,Nashville,Rutherford,211,1100
28078,Huntersville,NC,Charlotte,Mecklenburg,212,1650
34711,Clermont,FL,Orlando,Lake,213,1550
85705,Tucson,AZ,Tucson,Pima,214,920
92627,Costa Mesa,CA,Los Angeles-Long Beach-Anaheim,Orange,214,3050
32256,Jacksonville,FL,Jacksonville,Duval,216,1250
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,217,1550
80634,Greeley,CO,Greeley,Weld,218,1675
30318,Atlanta,GA,Atlanta,Fulton,219,1497.5
20878,Gaithersburg,MD,Washington,Montgomery,220,2097.5
95747,Roseville,CA,Sacramento,Placer,221,2100
30022,Johns Creek,GA,Atlanta,Fulton,222,1900
23666,Hampton,VA,Virginia Beach,Hampton City,223,1250
27858,Greenville,NC,Greenville,Pitt,224,1100
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,225,1650
11218,New York,NY,New York,Kings,226,2187
33027,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,227,2000
87121,Albuquerque,NM,Albuquerque,Bernalillo,228,1175
33063,Margate,FL,Miami-Fort Lauderdale,Broward,229,1350
29072,Lexington,SC,Columbia,Lexington,230,1350
2155,Medford,MA,Boston,Middlesex,231,2400
32174,Ormond Beach,FL,Daytona Beach,Volusia,232,1600
90025,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,233,3725
89052,Henderson,NV,Las Vegas,Clark,234,1595
10021,New York,NY,New York,New York,235,3450
20001,Washington,DC,Washington,District of Columbia,236,2800
77082,Houston,TX,Houston,Harris,237,1412.5
19124,Philadelphia,PA,Philadelphia,Philadelphia,238,982.5
34953,Port Saint Lucie,FL,Port St. Lucie,Saint Lucie,239,1500
97402,Eugene,OR,Eugene,Lane,240,1272.5
75150,Mesquite,TX,Dallas-Fort Worth,Dallas,241,1400
8831,Monroe Township,NJ,New York,Middlesex,242,1750
60616,Chicago,IL,Chicago,Cook,243,1850
33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,244,1300
23452,Virginia Beach,VA,Virginia Beach,Virginia Beach City,245,1395
95051,Santa Clara,CA,San Jose,Santa Clara,246,3250
91335,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,247,2817.5
90731,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,248,2265
55901,Rochester,MN,Rochester,Olmsted,249,1150
20147,Ashburn,VA,Washington,Loudoun,250,2050
78641,Leander,TX,Austin,Williamson,251,1600
91710,Chino,CA,Riverside,San Bernardino,252,2400
93550,Palmdale,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,253,1550
89123,Las Vegas,NV,Las Vegas,Clark,254,1347.5
77840,College Station,TX,College Station,Brazos,255,1595
95687,Vacaville,CA,Vallejo,Solano,256,2000
32225,Jacksonville,FL,Jacksonville,Duval,257,1432
78501,McAllen,TX,McAllen,Hidalgo,257,1050
75035,Frisco,TX,Dallas-Fort Worth,Collin,259,1950
43068,Reynoldsburg,OH,Columbus,Franklin,260,1395
94509,Antioch,CA,San Francisco,Contra Costa,261,1900
80015,Centennial,CO,Denver,Arapahoe,262,1950
7087,Union City,NJ,New York,Hudson,263,2000
21215,Baltimore,MD,Baltimore,Baltimore City,263,1200
27713,Durham,NC,Durham,Durham,265,1495
77057,Houston,TX,Houston,Harris,266,1250
80525,Fort Collins,CO,Fort Collins,Larimer,266,1595
60641,Chicago,IL,Chicago,Cook,268,1395
32828,Orlando,FL,Orlando,Orange,269,1646
23223,Richmond,VA,Richmond,Richmond City,270,1175
29464,Mount Pleasant,SC,Charleston,Charleston,271,1897.5
60622,Chicago,IL,Chicago,Cook,272,2300
30135,Douglasville,GA,Atlanta,Douglas,273,1275
19446,Lansdale,PA,Philadelphia,Montgomery,274,1535
30004,Milton,GA,Atlanta,Fulton,275,1800
30127,Powder Springs,GA,Atlanta,Cobb,276,1350
42101,Bowling Green,KY,Bowling Green,Warren,277,997.5
23451,Virginia Beach,VA,Virginia Beach,Virginia Beach City,278,1600
98115,Seattle,WA,Seattle,King,279,2647.5
60615,Chicago,IL,Chicago,Cook,280,1500
60453,Oak Lawn,IL,Chicago,Cook,281,1649
93535,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,282,1650
27284,Kernersville,NC,Winston-Salem,Forsyth,283,1195
60660,Chicago,IL,Chicago,Cook,284,1350
21122,Pasadena,MD,Baltimore,Anne Arundel,285,1750
78249,San Antonio,TX,San Antonio,Bexar,285,1374.5
33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,287,1495
85251,Scottsdale,AZ,Phoenix,Maricopa,288,1800
93536,Lancaster,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,289,1970
95758,Elk Grove,CA,Sacramento,Sacramento,290,1795
33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,291,1300
93306,Bakersfield,CA,Bakersfield,Kern,292,1275
89031,North Las Vegas,NV,Las Vegas,Clark,293,1295
93307,Bakersfield,CA,Bakersfield,Kern,294,1250
19120,Philadelphia,PA,Philadelphia,Philadelphia,295,1050
19720,New Castle,DE,Philadelphia,New Castle,295,1200
27707,Durham,NC,Durham,Durham,297,1250
22204,Arlington,VA,Washington,Arlington,298,2095
33467,Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,299,1800
20874,Germantown,MD,Washington,Montgomery,300,1625
73160,Moore,OK,Oklahoma City,Cleveland,301,1150
93309,Bakersfield,CA,Bakersfield,Kern,302,1195
10032,New York,NY,New York,New York,303,1850
77007,Houston,TX,Houston,Harris,304,2500
85282,Tempe,AZ,Phoenix,Maricopa,305,1399
95035,Milpitas,CA,San Jose,Santa Clara,306,3200
31419,Savannah,GA,Savannah,Chatham,307,1350
21222,Dundalk,MD,Baltimore,Baltimore,308,1212.5
33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,308,2325
94538,Fremont,CA,San Francisco,Alameda,310,2900
66061,Olathe,KS,Kansas City,Johnson,311,1495
90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,312,1962.5
75043,Garland,TX,Dallas-Fort Worth,Dallas,313,1445
60085,Waukegan,IL,Chicago,Lake,314,1300
98133,Shoreline,WA,Seattle,King,315,1997.5
29445,Goose Creek,SC,Charleston,Berkeley,316,1310
31907,Columbus,GA,Columbus,Muscogee,316,795
37128,Murfreesboro,TN,Nashville,Rutherford,318,1495
29223,Columbia,SC,Columbia,Richland,319,1135
28216,Charlotte,NC,Charlotte,Mecklenburg,320,1250
92630,Lake Forest,CA,Los Angeles-Long Beach-Anaheim,Orange,321,3200
93230,Hanford,CA,Hanford,Kings,322,1325
75002,Allen,TX,Dallas-Fort Worth,Collin,323,1700
98682,Vancouver,WA,Portland,Clark,324,1750
36117,Montgomery,AL,Montgomery,Montgomery,325,1250
72712,Bentonville,AR,Fayetteville,Benton,326,1250
46143,Greenwood,IN,Indianapolis,Johnson,327,1195
27703,Durham,NC,Durham,Durham,328,1495
37064,Franklin,TN,Nashville,Williamson,329,2092.5
31088,Warner Robins,GA,Warner Robins,Houston,330,995
92647,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,331,2900
63021,Ballwin,MO,St. Louis,Saint Louis,332,1500
77083,Mission Bend,TX,Houston,Fort Bend,333,1500
77521,Baytown,TX,Houston,Harris,334,1550
37167,Smyrna,TN,Nashville,Rutherford,335,1445
28205,Charlotte,NC,Charlotte,Mecklenburg,336,1295
92104,San Diego,CA,San Diego,San Diego,337,2197.5
37122,Mount Juliet,TN,Nashville,Wilson,338,1687.5
27705,Durham,NC,Durham,Durham,339,1350
6516,West Haven,CT,New Haven,New Haven,340,1575
29485,Summerville,SC,Charleston,Dorchester,340,1430
90631,La Habra,CA,Los Angeles-Long Beach-Anaheim,Orange,342,2472.5
33511,Brandon,FL,Tampa,Hillsborough,343,1450
17331,Penn Township,PA,York,York,344,1150
85022,Phoenix,AZ,Phoenix,Maricopa,345,1237.5
30253,McDonough,GA,Atlanta,Henry,346,1295
32246,Jacksonville,FL,Jacksonville,Duval,346,1295
78758,Austin,TX,Austin,Travis,348,1116
85204,Mesa,AZ,Phoenix,Maricopa,349,1150
87124,Rio Rancho,NM,Albuquerque,Sandoval,349,1250
85301,Glendale,AZ,Phoenix,Maricopa,351,888
92646,Huntington Beach,CA,Los Angeles-Long Beach-Anaheim,Orange,352,3000
29681,Simpsonville,SC,Greenville,Greenville,353,1572.5
89110,Las Vegas,NV,Las Vegas,Clark,354,1050
10031,New York,NY,New York,New York,355,2000
21224,Baltimore,MD,Baltimore,Baltimore City,356,1550
92154,San Diego,CA,San Diego,San Diego,357,2300
33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,358,2175
94513,Brentwood,CA,San Francisco,Contra Costa,358,2397.5
20852,North Bethesda,MD,Washington,Montgomery,360,2000
74133,Tulsa,OK,Tulsa,Tulsa,361,1350
30066,Marietta,GA,Atlanta,Cobb,362,1525
37040,Clarksville,TN,Clarksville,Montgomery,363,1000
78251,San Antonio,TX,San Antonio,Bexar,364,1200
95355,Modesto,CA,Modesto,Stanislaus,364,1595
95670,Rancho Cordova,CA,Sacramento,Sacramento,366,1600
28215,Charlotte,NC,Charlotte,Mecklenburg,367,1225
60637,Chicago,IL,Chicago,Cook,368,1250
85345,Peoria,AZ,Phoenix,Maricopa,369,1150
92376,Rialto,CA,Riverside,San Bernardino,370,1685
21061,Glen Burnie,MD,Baltimore,Anne Arundel,371,1595
60148,Lombard,IL,Chicago,Du Page,372,1700
67401,Salina,KS,Salina,Saline,373,725
95014,Cupertino,CA,San Jose,Santa Clara,374,3996.5
37421,Chattanooga,TN,Chattanooga,Hamilton,375,1395
19067,Lower Makefield,PA,Philadelphia,Bucks,376,1750
32303,Tallahassee,FL,Tallahassee,Leon,377,975
19134,Philadelphia,PA,Philadelphia,Philadelphia,378,1000
32765,Oviedo,FL,Orlando,Seminole,379,1660
37027,Brentwood,TN,Nashville,Williamson,380,1975
28210,Charlotte,NC,Charlotte,Mecklenburg,381,1375
94568,Dublin,CA,San Francisco,Alameda,382,3300
28227,Mint Hill,NC,Charlotte,Mecklenburg,383,1300
30263,Newnan,GA,Atlanta,Coweta,384,1250
85008,Phoenix,AZ,Phoenix,Maricopa,384,1099
